name,type,lat,long,link
Karawang Park,Park,-6.203096,106.8320984,https://www.google.com/maps/place/Karawang+Park/data=!4m7!3m6!1s0x2e69f410ddbd090b:0xe0111c9a607dd9f1!8m2!3d-6.203096!4d106.8320984!16s%2Fg%2F11dymvtf6k!19sChIJCwm93RD0aS4R8dl9YJocEeA?authuser=0&hl=en&rclk=1
Kemuning Park,Park,-6.224815,106.9258555,https://www.google.com/maps/place/Kemuning+Park/data=!4m7!3m6!1s0x2e698cbac8bffc39:0xd12a782bf209319d!8m2!3d-6.224815!4d106.9258555!16s%2Fg%2F11b823v5vt!19sChIJOfy_yLqMaS4RnTEJ8it4KtE?authuser=0&hl=en&rclk=1
Kerinci Park,City park,-6.2390756,106.7878346,https://www.google.com/maps/place/Kerinci+Park/data=!4m7!3m6!1s0x2e69f11603ad5f5f:0x55e97cb4545045fc!8m2!3d-6.2390756!4d106.7878346!16s%2Fg%2F11b6__mqq6!19sChIJX1-tAxbxaS4R_EVQVLR86VU?authuser=0&hl=en&rclk=1
Ketapang Park,Park,-6.1218369,106.9632269,https://www.google.com/maps/place/Ketapang+Park/data=!4m7!3m6!1s0x2e6a21b2d3b45521:0xb33d99270e7a1ad8!8m2!3d-6.1218369!4d106.9632269!16s%2Fg%2F11fr34bcmq!19sChIJIVW007Ihai4R2Bp6DieZPbM?authuser=0&hl=en&rclk=1
Komplek BPP park,Park,-6.1589429,106.9228382,https://www.google.com/maps/place/Komplek+BPP+park/data=!4m7!3m6!1s0x2e698b3eb6d335bd:0x35f69d6995b1dfcc!8m2!3d-6.1589429!4d106.9228382!16s%2Fg%2F11fj9m5mjj!19sChIJvTXTtj6LaS4RzN-xlWmd9jU?authuser=0&hl=en&rclk=1
Lapangan Banteng Park,City park,-12.34111,213.6700756,https://www.google.com/maps/place/Lapangan+Banteng+Park/data=!4m7!3m6!1s0x2e69f5cbff32cf03:0xc0f7ede65818fc6d!8m2!3d-6.170555!4d106.8350378!16s%2Fg%2F1hb_h2wc5!19sChIJA88y_8v1aS4RbfwYWObt98A?authuser=0&hl=en&rclk=1
Lapangan Bidaracina,Park,-6.2414879,106.8634229,https://www.google.com/maps/place/Lapangan+Bidaracina/data=!4m7!3m6!1s0x2e69f3a0caae35f1:0x48e94997f3d1a5cf!8m2!3d-6.2414879!4d106.8634229!16s%2Fg%2F11bw1zxqxp!19sChIJ8TWuyqDzaS4Rz6XR85dJ6Ug?authuser=0&hl=en&rclk=1
LAPANGAN BOLA & Taman Gaya Motor,Park,-6.1055326,106.9312764,https://www.google.com/maps/place/LAPANGAN+BOLA+%26+Taman+Gaya+Motor/data=!4m7!3m6!1s0x2e6a2183f70bc237:0xa7c312a344056e62!8m2!3d-6.1055326!4d106.9312764!16s%2Fg%2F11s8ftqzzq!19sChIJN8IL94Mhai4RYm4FRKMSw6c?authuser=0&hl=en&rclk=1
Lapangan Serbaguna Taman Nyiur,Park,-6.1352861,106.8713445,https://www.google.com/maps/place/Lapangan+Serbaguna+Taman+Nyiur/data=!4m7!3m6!1s0x2e69f5e46a03b25d:0xc9b02086e4073afc!8m2!3d-6.1352861!4d106.8713445!16s%2Fg%2F11nmhxtc4s!19sChIJXbIDauT1aS4R_DoH5IYgsMk?authuser=0&hl=en&rclk=1
Layangan Park,Park,-6.3246579,106.8824275,https://www.google.com/maps/place/Layangan+Park/data=!4m7!3m6!1s0x2e69ed1131690f7d:0x31bff380a6b69cd1!8m2!3d-6.3246579!4d106.8824275!16s%2Fg%2F11c6cd5ywz!19sChIJfQ9pMRHtaS4R0Zy2poDzvzE?authuser=0&hl=en&rclk=1
Lenteng Agung Kids And Elderly Friendly Park,City park,-6.322885,106.8360167,https://www.google.com/maps/place/Lenteng+Agung+Kids+And+Elderly+Friendly+Park/data=!4m7!3m6!1s0x2e69edc16716df25:0xbc9677a134aca5a9!8m2!3d-6.322885!4d106.8360167!16s%2Fg%2F1yg93kr8p!19sChIJJd8WZ8HtaS4RqaWsNKF3lrw?authuser=0&hl=en&rclk=1
Lotteng Park,Park,-12.2611256,213.6740654,https://www.google.com/maps/place/Lotteng+Park/data=!4m7!3m6!1s0x2e6a1e1ec9d48545:0xcd4d5b8639ee9170!8m2!3d-6.1305628!4d106.8370327!16s%2Fg%2F11cjk1106q!19sChIJRYXUyR4eai4RcJHuOYZbTc0?authuser=0&hl=en&rclk=1
Mataram City Park,City park,-6.2328196,106.7995376,https://www.google.com/maps/place/Mataram+City+Park/data=!4m7!3m6!1s0x2e69f146b787a2c1:0xd04ecd93726c3e77!8m2!3d-6.2328196!4d106.7995376!16s%2Fg%2F11b7q6zxk0!19sChIJwaKHt0bxaS4Rdz5scpPNTtA?authuser=0&hl=en&rclk=1
Menteng Park,City park,-6.1964087,106.8293106,https://www.google.com/maps/place/Menteng+Park/data=!4m7!3m6!1s0x2e69f422b00ee429:0xa28d5c5a0efbe12e!8m2!3d-6.1964087!4d106.8293106!16s%2Fg%2F11byz6zj8g!19sChIJKeQOsCL0aS4RLuH7DlpcjaI?authuser=0&hl=en&rclk=1
Monumen Nasional,City park,-6.2087442,106.8456019,https://www.google.com/maps/place/Monumen+Nasional/data=!4m7!3m6!1s0x2e69f4724ba0f387:0x1570c20e8ac9f2d!8m2!3d-6.2087442!4d106.8456019!16s%2Fg%2F11f38mqpkv!19sChIJh_OgS3L0aS4RLZ-s6CAMVwE?authuser=0&hl=en&rclk=1
National Monument Park,National park,-6.1718907,106.8272242,https://www.google.com/maps/place/National+Monument+Park/data=!4m7!3m6!1s0x2e69f5d231d3926b:0x80d991c3eef57e2f!8m2!3d-6.1718907!4d106.8272242!16s%2Fg%2F11c0vwvz4v!19sChIJa5LTMdL1aS4RL3717sOR2YA?authuser=0&hl=en&rclk=1
Nimingtaman,Park,-6.3361001,106.856197,https://www.google.com/maps/place/Nimingtaman/data=!4m7!3m6!1s0x2e69ed1ca947e71d:0x244784888a02b51!8m2!3d-6.3361001!4d106.856197!16s%2Fg%2F11rfs30zvk!19sChIJHedHqRztaS4RUSugiEh4RAI?authuser=0&hl=en&rclk=1
North Rawa Badak Park,Park,-6.1276911,106.8941294,https://www.google.com/maps/place/North+Rawa+Badak+Park/data=!4m7!3m6!1s0x2e6a1fe6aeef65f9:0xa9a11693611cadeb!8m2!3d-6.1276911!4d106.8941294!16s%2Fg%2F11cjh_yv02!19sChIJ-WXvruYfai4R660cYZMWoak?authuser=0&hl=en&rclk=1
Orchid Park Indonesia Permai,Park,-6.2927091,106.8819179,https://www.google.com/maps/place/Orchid+Park+Indonesia+Permai/data=!4m7!3m6!1s0x2e69f29c110abcb7:0x843ca9830fbed85a!8m2!3d-6.2927091!4d106.8819179!16s%2Fg%2F1tf0sxzg!19sChIJt7wKEZzyaS4RWti-D4OpPIQ?authuser=0&hl=en&rclk=1
