lat,long
-6.124543,106.722437
-6.133435,106.762682
-6.137246,106.804844
-6.139214,106.856284
-6.128059,106.887698
-6.118577,106.929209
-6.161014,106.716488
-6.169356,106.748621
-6.177730,106.788331
-6.184383,106.845482
-6.182739,106.884749
-6.177808,106.923188
-6.163425,106.955015
-6.203696,106.742563
-6.205340,106.770256
-6.207805,106.801669
-6.216434,106.833082
-6.207501,106.875622
-6.207879,106.904697
-6.202948,106.940244
-6.235409,106.757965
-6.237464,106.786485
-6.236306,106.821281
-6.240003,106.861731
-6.241390,106.896137
-6.240003,106.924964
-6.271431,106.777111
-6.272356,106.809657
-6.271893,106.851038
-6.270969,106.885909
-6.300800,106.789458
-6.299246,106.822300
-6.305171,106.857178
-6.309635,106.890657
-6.315482,106.818771
-6.321975,106.860824
-6.326844,106.898794
-6.342824,106.808888
-6.348505,106.884011
